,accumulatedFirstCnt,accumulatedSecondCnt,baseDate,firstCnt,secondCnt,thirdCnt,totalFirstCnt,totalSecondCnt,totalThirdCnt
283,4.35E+07,4.21E+07,2021.12.21 0:00,119334,52293,807347,4.36E+07,4.21E+07,1.24E+07
284,4.36E+07,4.21E+07,2021.12.22 0:00,73863,37324,661259,4.37E+07,4.22E+07,1.31E+07
285,4.37E+07,4.22E+07,2021.12.23 0:00,89757,38216,590569,4.38E+07,4.22E+07,1.37E+07
286,4.38E+07,4.22E+07,2021.12.24 0:00,79148,33891,563646,4.39E+07,4.23E+07,1.43E+07
287,4.39E+07,4.23E+07,2021.12.25 0:00,78717,43219,777917,4.40E+07,4.23E+07,1.51E+07
288,4.40E+07,4.23E+07,2021.12.26 0:00,9912,4790,58612,4.40E+07,4.23E+07,1.52E+07
289,4.40E+07,4.23E+07,2021.12.27 0:00,3247,1574,23782,4.40E+07,4.23E+07,1.52E+07
290,4.40E+07,4.23E+07,2021.12.28 0:00,75170,63684,726933,4.41E+07,4.24E+07,1.60E+07
291,4.41E+07,4.24E+07,2021.12.29 0:00,45453,43013,587719,4.41E+07,4.24E+07,1.66E+07
292,4.41E+07,4.24E+07,2021.12.30 0:00,48807,45847,510846,4.42E+07,4.25E+07,1.71E+07
293,4.42E+07,4.25E+07,2021.12.31 0:00,46646,45494,517087,4.42E+07,4.25E+07,1.77E+07
294,4.42E+07,4.25E+07,2022.1.1 0:00,52423,56673,707893,4.43E+07,4.26E+07,1.84E+07
295,4.43E+07,4.26E+07,2022.1.2 0:00,4202,4858,34112,4.43E+07,4.26E+07,1.85E+07
296,4.43E+07,4.26E+07,2022.1.3 0:00,1878,2185,16209,4.43E+07,4.26E+07,1.85E+07
297,4.42E+07,4.25E+07,2022.1.4 0:00,39839,78260,471638,4.42E+07,4.26E+07,1.90E+07
298,4.42E+07,4.26E+07,2022.1.5 0:00,26368,54370,351030,4.43E+07,4.27E+07,1.93E+07
299,4.43E+07,4.27E+07,2022.1.6 0:00,20565,74703,320870,4.43E+07,4.28E+07,1.97E+07
300,4.43E+07,4.28E+07,2022.1.7 0:00,19361,84088,367248,4.43E+07,4.28E+07,2.01E+07
