,Cumulative number of tests,Number of patients being treated,Number of releases from quarantine,Number of deaths,Number of confirmed cases,Number of tests in progress,Number of people who are negative,Confirmed individuals (matant virus),Confirmed individuals (matant virus),Confirmed individuals (matant virus),Confirmed individuals (matant virus),Confirmed individuals (matant virus),
,Total (E),Quarantined (Q),Recovered (R),Cumulative death (D),Cumulative number of confirmed cases (I),test,Negative,Cumulative count (tests),Daily (tests),Analysis rate,Detection rate,Daily,
date,accExamCnt,careCnt,clearCnt,deathCnt,decideCnt,examCnt,resutlNegCnt,mutant,mutant_d,PA,PF,mutant,
2021.1.15,4978063,13476,56536,1217,71229,162323,4744511,21,1,20,3.28125,17,0
2021.1.16,5032259,13019,57554,1236,71809,155639,4804811,22,1,20,3.5,20,0
2021.1.17,5061279,12827,58253,1249,72329,159385,4829565,23,0,20,3.71875,19,0
2021.1.18,5087209,12731,58723,1264,72718,158035,4856456,23,1,20,3.9375,15,0
2021.1.19,5140315,12353,59468,1283,73104,154345,4912866,24,1,20,4.15625,16,0
2021.1.20,5192119,12028,60180,1300,73508,148141,4970470,25,1,20,4.375,18,0
2021.1.21,5237598,11746,60846,1316,73908,141070,5022620,26,0,20,4.59375,18,0
2021.1.22,5282216,11511,61415,1328,74254,133132,5074830,26,1,20,4.8125,17,0
2021.1.23,5329700,11304,62044,1337,74685,136629,5118386,27,1,20,5.03125,22,0
2021.1.24,5354342,11198,62530,1349,75077,135765,5143500,28,1,20,5.25,21,0
2021.1.25,5376079,11198,62956,1360,75514,134549,5166016,29,0,20,5.46875,24,0
2021.1.26,5422761,9699,64793,1371,75863,138624,5208274,29,1,20,5.6875,20,0
2021.1.27,5469240,9566,65478,1378,76422,138427,5254391,30,1,20,5.90625,33,0
2021.1.28,5522182,9517,66016,1386,76919,139424,5305839,31,1,20,6.125,30,0
2021.1.29,5569257,9486,66503,1399,77388,142753,5349116,32,0,20,6.34375,30,0
2021.1.30,5616524,9309,67121,1414,77844,145795,5392885,32,1,20,6.5625,30,0
2021.1.31,5640813,8900,67878,1420,78198,149550,5413065,33,1,20,6.78125,24,0
2021.2.1,5661837,8769,68309,1425,78503,149456,5433878,34,3,20,7,21,1
2021.2.2,5711408,8629,68775,1435,78839,154265,5478304,37,4,20,7.21875,24,1
2021.2.3,5756709,8566,69299,1441,79306,138849,5538554,41,3,20,7.4375,35,1
2021.2.4,5803090,8605,69704,1448,79757,120538,5602795,44,4,20,7.65625,35,2
2021.2.5,5847174,8551,70117,1459,80127,107457,5659590,48,3,20,7.875,29,1
2021.2.6,5893346,8548,70505,1464,80517,97677,5715152,51,1,20,8.09375,32,0
2021.2.7,5916967,8552,70865,1471,80888,90751,5745328,52,2,20,8.3125,31,1
2021.2.8,5938188,8484,71218,1474,81176,84843,5772169,54,2,20,8.53125,25,1
2021.2.9,5987398,8321,71676,1482,81479,82630,5823289,56,12,20,8.75,27,5
2021.2.10,6030016,8211,72226,1486,81923,80076,5868017,68,12,20,8.96875,40,5
2021.2.11,6070001,8293,72638,1496,82427,81614,5905960,80,10,20,9.1875,46,5
2021.2.12,6093362,8387,72936,1507,82830,80861,5929671,90,11,20,9.40625,38,5
2021.2.13,6115330,8451,73227,1514,83192,70251,5961887,101,3,20,9.625,35,1
2021.2.14,6140079,8437,73559,1522,83518,78200,5978361,104,2,20,9.84375,32,1
2021.2.15,6162852,8540,73794,1527,83861,80146,5998845,106,3,20,10.0625,35,2
2021.2.16,6213483,8233,74551,1534,84318,76897,6052268,109,2,20,10.28125,47,1
2021.2.17,6260560,8041,75360,1538,84939,72410,6103211,111,3,20,10.5,65,2
2021.2.18,6303207,8120,75896,1544,85560,70720,6146927,114,2,20,10.71875,67,1
2021.2.19,6345985,8058,76513,1550,86121,71116,6188748,116,3,20,10.9375,61,2
2021.2.20,6390625,7934,77083,1553,86570,76137,6227918,119,5,20,11.15625,50,3
2021.2.21,6411333,7912,77516,1557,86985,73356,6250992,124,4,20,11.375,47,2
2021.2.22,6429137,7868,77887,1562,87317,72461,6269359,128,5,20,11.59375,38,3
2021.2.23,6472671,7706,78394,1573,87673,74065,6310933,133,4,20,11.8125,42,2
2021.2.24,6510981,7487,79050,1576,88113,74988,6347880,137,5,20,12.03125,53,3
2021.2.25,6551206,7440,79487,1581,88508,68672,6394026,142,3,20,12.25,48,2
2021.2.26,6590042,7430,79880,1585,88895,68942,6432205,145,3,20,12.46875,48,2
2021.2.27,6627207,7382,80333,1595,89310,68989,6468908,148,3,20,12.6875,53,2
2021.2.28,6648996,7365,80697,1603,89665,72889,6486442,151,2,20,12.90625,46,1
2021.3.1,6665747,7345,81070,1605,90020,73745,6501982,153,3,20,13.125,47,2
2021.3.2,6681969,7420,81338,1606,90364,73432,6518173,156,3,20,13.34375,46,2
2021.3.3,6716196,7496,81700,1612,90808,65867,6559521,159,3,20,13.5625,60,2
2021.3.4,6751893,7451,82162,1619,91232,60089,6600572,162,5,20,13.78125,58,3
2021.3.5,6789004,7443,82560,1627,91630,63707,6633667,167,5,20,14,56,4
2021.3.6,6821936,7503,82913,1632,92048,65171,6664717,172,5,20,14.21875,59,4
2021.3.7,6843119,7610,83220,1634,92464,66396,6684259,177,5,20,14.4375,60,4
2021.3.8,6861802,7694,83474,1642,92810,67394,6701598,182,4,20,14.65625,51,3
2021.3.9,6902977,7711,83900,1645,93256,70501,6739220,186,5,20,14.875,66,4
2021.3.10,6938877,7766,84312,1648,93726,70278,6774873,191,4,20,15.09375,71,3
2021.3.11,6976978,7864,84675,1652,94191,68248,6814539,195,5,20,15.3125,71,4
2021.3.12,7012657,7274,85743,1662,94679,68738,6849240,200,4,20,15.53125,76,3
2021.3.13,7046775,6877,86625,1667,95169,67874,6883732,204,5,20,15.75,77,4
2021.3.14,7066394,6551,87408,1669,95628,69843,6900923,209,4,20,15.96875,73,3
2021.3.15,7084930,6578,87754,1675,96007,71590,6917333,213,5,20,16.1875,61,4
2021.3.16,7126067,6437,88255,1678,96370,78044,6951653,218,5,20,16.40625,60,4
2021.3.17,7171500,6339,88814,1686,96839,83462,6991199,223,5,20,16.625,78,4
2021.3.18,7218077,6418,89178,1688,97284,89722,7031071,228,6,20,16.84375,75,5
2021.3.19,7264931,6534,89523,1690,97747,88341,7078843,234,5,20,17.0625,79,4
2021.3.20,7308935,6552,89949,1693,98194,93018,7117723,239,5,20,17.28125,77,4
2021.3.21,7332699,6626,90328,1696,98650,98308,7135741,244,5,20,17.5,80,4
2021.3.22,7355954,6757,90611,1697,99065,103132,7153757,249,6,20,17.71875,74,5
2021.3.23,7400980,6628,91079,1704,99411,100172,7201397,255,5,20,17.9375,62,4
2021.3.24,7441203,6572,91560,1707,99839,94326,7247038,260,6,20,18.15625,78,5
2021.3.25,7485852,6492,92068,1709,100269,86983,7298600,266,6,20,18.375,79,6
2021.3.26,7529391,6412,92630,1716,100758,77409,7351224,272,6,20,18.59375,91,6
2021.3.27,7572556,6067,93475,1721,101263,75174,7396119,278,5,20,18.8125,95,5
2021.3.28,7595584,6168,93855,1722,101745,78605,7415234,283,6,20,19.03125,92,6
2021.3.29,7616317,6277,94124,1726,102127,78938,7435252,289,10,20,19.25,74,10
2021.3.30,7663991,6282,94563,1729,102574,78424,7482993,299,5,20,19.46875,87,5
2021.3.31,7707792,6319,95030,1731,103080,71302,7533410,304,5,20,19.6875,100,5
2021.4.1,7747295,6457,95439,1735,103631,68659,7575005,309,6,20,19.90625,110,6
2021.4.2,7788290,6590,95861,1737,104188,70752,7613350,315,5,20,20.125,112,5
2021.4.3,7829596,6795,96196,1740,104731,75288,7649577,320,5,20,20.34375,110,5
2021.4.4,7849470,6940,96589,1744,105273,79799,7664398,325,5,20,20.5625,111,5
2021.4.5,7868815,7099,96900,1748,105747,80497,7682571,330,7,20,20.78125,99,7
2021.4.6,7921284,7109,97363,1752,106224,79155,7735905,337,7,20,21,100,7
2021.4.7,7966161,7208,97928,1756,106892,74642,7784627,344,7,20,21.21875,142,7
2021.4.8,8012415,7474,98360,1758,107592,77994,7826829,351,7,20,21.4375,150,8
2021.4.9,8059107,7713,98786,1764,108263,81912,7868932,358,7,20,21.65625,145,8
2021.4.10,8106625,7874,99301,1765,108940,90014,7907671,365,7,20,21.875,148,8
2021.4.11,8129527,7677,100109,1768,109554,91909,7928064,372,7,20,22.09375,136,8
2021.4.12,8152778,7567,100804,1770,110141,95248,7947389,379,10,20,22.3125,131,11
2021.4.13,8200514,7576,101332,1775,110683,85584,8004247,389,10,20,22.53125,122,11
2021.4.14,8245383,7649,101983,1782,111414,74627,8059342,399,10,20,22.75,166,11
2021.4.15,8291121,7811,102513,1788,112112,70221,8108788,409,10,20,22.96875,160,11
2021.4.16,8333331,7933,103062,1790,112785,70883,8149663,419,10,20,23.1875,156,12
2021.4.17,8377778,8055,103594,1794,113443,71039,8193296,429,10,20,23.40625,154,12
2021.4.18,8396066,8311,104006,1797,114114,72191,8209761,439,10,20,23.625,159,12
2021.4.19,8414821,8371,104474,1801,114646,70763,8229412,449,11,20,23.84375,127,13
2021.4.20,8458592,8166,105227,1802,115195,66590,8276807,460,11,20,24.0625,132,13
2021.4.21,8497594,8243,105877,1806,115926,67211,8314457,471,10,20,24.28125,177,12
2021.4.22,8537505,8394,106459,1808,116661,67139,8353705,481,11,20,24.5,180,13
2021.4.23,8583530,8576,107071,1811,117458,69939,8396133,492,11,20,24.71875,197,14
2021.4.24,8632923,8650,107781,1812,118243,78269,8436411,503,11,20,24.9375,196,14
2021.4.25,8654791,8599,108475,1813,118887,77560,8458344,514,10,20,25.15625,162,13
2021.4.26,8672978,8719,108850,1817,119386,78084,8475508,524,11,20,25.375,127,14
2021.4.27,8721609,8383,109695,1820,119898,76508,8525203,535,14,20,25.59375,131,18
2021.4.28,8766491,8597,110248,1821,120666,77166,8568659,549,14,20,25.8125,198,18
2021.4.29,8805774,8734,110787,1825,121346,80392,8604036,563,14,20,26.03125,177,18
2021.4.30,8848292,8757,111422,1828,122007,82511,8643774,577,13,20,26.25,174,17
2021.5.1,8883388,8466,112337,1831,122634,85212,8675542,590,14,20,26.46875,166,19
2021.5.2,8898234,8542,112865,1833,123240,86607,8688387,604,14,20,26.6875,162,19
2021.5.3,8915326,8538,113356,1834,123728,89022,8702576,618,14,20,26.90625,131,19
2021.5.4,8957155,8301,114128,1840,124269,78096,8754790,632,25,20,27.125,147,34
2021.5.5,8994069,8154,114944,1847,124945,78995,8790129,657,25,20,27.34375,185,34
2021.5.6,9010992,8177,115491,1851,125519,77055,8808418,682,25,20,27.5625,158,34
2021.5.7,9051354,8162,116022,1860,126044,78896,8846414,707,26,20,27.78125,146,36
2021.5.8,9089166,7999,116881,1865,126745,78259,8884162,733,25,20,28,196,35
2021.5.9,9105771,8012,117423,1874,127309,81280,8897182,758,25,20,28.21875,159,35
2021.5.10,9122059,8053,117844,1875,127772,83398,8910889,783,25,20,28.4375,132,36
2021.5.11,9164284,7686,118717,1879,128282,84628,8951374,808,44,20,28.65625,146,63
2021.5.12,9201539,7661,119373,1884,128918,84279,8988342,852,43,20,28.875,184,62
2021.5.13,9241153,7836,119906,1891,129633,87517,9024003,895,44,20,29.09375,208,64
2021.5.14,9281291,8092,120395,1893,130380,95208,9055703,939,43,20,29.3125,219,63
2021.5.15,9319094,7883,121282,1896,131061,99216,9088817,982,44,20,29.53125,201,65
2021.5.16,9336614,8007,121764,1900,131671,101663,9103280,1026,43,20,29.75,181,64
2021.5.17,9353300,8224,122163,1903,132290,101804,9119206,1069,44,20,29.96875,186,66
2021.5.18,9395004,8283,122631,1904,132818,103413,9158773,1113,40,20,30.1875,159,60
2021.5.19,9428644,8322,123237,1912,133471,104494,9190679,1153,39,20,30.40625,199,59
2021.5.20,9447358,8542,123659,1916,134117,108873,9204368,1192,40,20,30.625,198,61
2021.5.21,9487108,8598,124158,1922,134678,114144,9238286,1232,39,20,30.84375,173,60
2021.5.22,9520966,8386,125032,1926,135344,117558,9268064,1271,40,20,31.0625,207,62
2021.5.23,9536299,8117,125881,1931,135929,122235,9278135,1311,39,20,31.28125,183,61
2021.5.24,9553613,8098,126427,1934,136459,120704,9296450,1350,40,20,31.5,167,63
2021.5.25,9592727,8044,126993,1938,136975,117098,9338654,1390,29,20,31.71875,164,46
2021.5.26,9629450,8160,127574,1940,137674,121069,9370707,1419,29,20,31.9375,223,46
2021.5.27,9665693,8188,128180,1943,138311,122659,9404723,1448,29,20,32.15625,205,47
2021.5.28,9702456,8193,128759,1946,138898,122872,9440686,1477,28,20,32.375,190,45
2021.5.29,9733591,7741,129739,1951,139431,123790,9470370,1505,29,20,32.59375,174,47
2021.5.30,9733591,7741,130381,1951,139910,123790,9470370,1534,29,20,32.8125,157,48
2021.5.31,9733591,7741,130823,1951,140340,123790,9470370,1563,29,20,33.03125,142,48
2021.6.1,9733591,7741,131463,1951,140799,123790,9470370,1592,21,20,33.25,153,35
2021.6.2,9733591,7741,132068,1951,141476,123790,9470370,1613,21,20,33.46875,227,35
2021.6.3,9733591,7741,132699,1951,142157,123790,9470370,1634,21,20,33.6875,229,35
2021.6.4,9733591,7741,133289,1951,142852,123790,9470370,1655,20,20,33.90625,236,34
2021.6.5,9733591,7741,133763,1951,143596,123790,9470370,1675,21,20,34.125,254,36
2021.6.6,9733591,7741,134262,1951,144152,123790,9470370,1696,21,20,34.34375,191,36
2021.6.7,9733591,7741,134861,1951,144637,123790,9470370,1717,21,20,35,170,37
2021.6.8,9733591,7741,135412,1951,145090,123790,9470370,1738,32,20,32.9,149,53
2021.6.9,9733591,7741,136174,1951,145692,123790,9470370,1770,33,20,32.9,198,54
2021.6.10,9733591,7741,136713,1951,146303,123790,9470370,1803,32,22,32.9,201,48
2021.6.11,9733591,7741,137224,1951,146857,123790,9470370,1835,32,22,32.9,182,48
2021.6.12,9733591,7741,138037,1951,147422,123790,9470370,1867,32,22,32.9,186,48
2021.6.13,9733591,7741,138581,1951,147874,123790,9470370,1899,33,22,32.9,149,49
2021.6.14,9733591,7741,139022,1951,148273,123790,9470370,1932,32,22,32.9,131,48
2021.6.15,9733591,7741,139733,1951,148646,123790,9470370,1964,65,22,32.9,123,97
2021.6.16,9733591,7741,140438,1951,149191,123790,9470370,2029,66,22,32.9,179,99
2021.6.17,9733591,7741,141029,1951,149731,123790,9470370,2095,65,18.7,30.5,165,106
2021.6.18,9733591,7741,141816,1951,150238,123790,9470370,2160,65,18.7,30.5,155,106
2021.6.19,9733591,7741,142385,1951,150720,123790,9470370,2225,38,18.7,30.5,147,62
2021.6.20,9733591,7741,142899,1951,151149,123790,9470370,2263,38,18.7,30.5,131,62
2021.6.21,9733591,7741,143268,1951,151506,123790,9470370,2301,38,18.7,30.5,109,62
2021.6.22,9733591,7741,143817,1951,151900,123790,9470370,2339,39,18.7,30.5,120,64
2021.6.23,9733591,7741,144379,1951,152545,123790,9470370,2378,38,18.7,30.5,197,62
2021.6.24,9733591,7741,144788,1951,153155,123790,9470370,2416,38,11.5,39,238,129
2021.6.25,9733591,7741,145389,1951,153789,123790,9470370,2454,38,11.5,39,247,129
2021.6.26,9733591,7741,145989,1951,154457,123790,9470370,2492,46,11.5,39,261,156
2021.6.27,9733591,7741,146340,1951,155071,123790,9470370,2538,47,11.5,39,239,159
2021.6.28,9733591,7741,146675,1951,155572,123790,9470370,2585,46,11.5,39,195,156
2021.6.29,9733591,7741,147077,1951,156167,123790,9470370,2631,47,11.5,39,232,159
2021.6.30,9733591,7741,147693,1951,156961,123790,9470370,2678,46,11.5,39,310,156
2021.7.1,9733591,7741,148024,1951,157723,123790,9470370,2724,47,15.4,36.9,281,113
2021.7.2,9733591,7741,148319,1951,158549,123790,9470370,2771,46,15.4,36.9,305,110
2021.7.3,9733591,7741,149132,1951,159342,123790,9470370,2817,77,15.4,36.9,293,185
2021.7.4,9733591,7741,149614,1951,160084,123790,9470370,2894,76,15.4,36.9,274,182
2021.7.5,9733591,7741,150044,1951,160795,123790,9470370,2970,77,15.4,36.9,262,185
2021.7.6,9733591,7741,150760,1951,161541,123790,9470370,3047,76,15.4,36.9,275,182
2021.7.7,9733591,7741,151500,1951,162753,123790,9470370,3123,77,15.4,36.9,447,185
2021.7.8,9733591,7741,151923,1951,164028,123790,9470370,3200,76,15.4,36.9,470,182
2021.7.9,9733591,7741,152498,1951,165344,123790,9470370,3276,77,23.3,47.1,620,156
2021.7.10,9733591,7741,153153,1951,166722,123790,9470370,3353,179,23.3,47.1,649,362
2021.7.11,9733591,7741,153760,1951,168046,123790,9470370,3532,179,23.3,47.1,624,362
2021.7.12,9733591,7741,154187,1951,169146,123790,9470370,3711,179,23.3,47.1,518,362
2021.7.13,9733591,7741,154752,1951,170296,123790,9470370,3890,178,23.3,47.1,542,360
2021.7.14,9733591,7741,155491,1951,171911,123790,9470370,4068,179,23.3,47.1,761,362
2021.7.15,9733591,7741,156509,1951,173511,123790,9470370,4247,179,23.3,47.1,754,362
2021.7.16,9733591,7741,157113,1951,175046,123790,9470370,4426,179,22.5,54.8,841,436
2021.7.17,9733591,7741,157960,1951,176500,123790,9470370,4605,179,22.5,54.8,797,436
2021.7.18,9733591,7741,158953,1951,177951,123790,9470370,4784,179,22.5,54.8,795,436
2021.7.19,9733591,7741,159630,1951,179203,123790,9470370,4963,179,22.5,54.8,686,436
2021.7.20,9733591,7741,160347,1951,180481,123790,9470370,5142,219,22.5,54.8,700,533
2021.7.21,9733591,7741,161634,1951,182265,123790,9470370,5361,377,22.5,54.8,978,918
2021.7.22,9733591,7741,163073,1951,184103,123790,9470370,5738,377,22.5,54.8,1007,918
2021.7.23,9733591,7741,164206,1951,185733,123790,9470370,6115,377,26.2,67.6,1102,973
2021.7.24,9733591,7741,165246,1951,187362,123790,9470370,6492,377,26.2,67.6,1101,973
2021.7.25,9733591,7741,166375,1951,188848,123790,9470370,6869,377,26.2,67.6,1005,973
2021.7.26,9733591,7741,167365,1951,190166,123790,9470370,7246,377,26.2,67.6,891,973
2021.7.27,9733591,7741,168629,1951,191531,123790,9470370,7623,377,26.2,67.6,923,973
2021.7.28,9733591,7741,170494,1951,193427,123790,9470370,8000,377,26.2,67.6,1282,973
2021.7.29,9733591,7741,171559,1951,195099,123790,9470370,8377,377,26.2,67.6,1130,973
2021.7.30,9733591,7741,172757,1951,196806,123790,9470370,8754,377,31.1,75.6,1290,916
2021.7.31,9733591,7741,174178,1951,198335,123790,9470370,9131,377,31.1,75.6,1156,916
2021.8.1,9733591,7741,175673,1951,199777,123790,9470370,9508,377,31.1,75.6,1090,916
2021.8.2,9733591,7741,176600,1951,200995,123790,9470370,9885,377,31.1,75.6,921,916
2021.8.3,9733591,7741,177910,1951,202195,123790,9470370,10262,377,31.1,75.6,907,916
2021.8.4,9733591,7741,179126,1951,203920,123790,9470370,10639,376,31.1,75.6,1304,914
2021.8.5,9733591,7741,180721,1951,205695,123790,9470370,11015,377,31.1,75.6,1342,916
2021.8.6,9733591,7741,182054,1951,207399,123790,9470370,11392,377,31.1,75.6,1288,916
2021.8.7,9733591,7741,183788,1951,209222,123790,9470370,11769,377,31.1,75.6,1378,916
2021.8.8,9733591,7741,185003,1951,210950,123790,9470370,12146,377,26.8,86.9,1502,1222
2021.8.9,9733591,7741,186243,1951,212441,123790,9470370,12523,377,26.8,86.9,1296,1222
2021.8.10,9733591,7741,187524,1951,213978,123790,9470370,12900,377,26.8,86.9,1336,1222
2021.8.11,9733591,7741,189506,1951,216199,123790,9470370,13277,377,26.8,86.9,1930,1222
2021.8.12,9733591,7741,190536,1951,218186,123790,9470370,13654,377,26.8,86.9,1727,1222
2021.8.13,9733591,7741,192248,1951,220175,123790,9470370,14031,377,26.8,86.9,1728,1222
2021.8.14,9733591,7741,193778,1951,222103,123790,9470370,14408,377,26.8,86.9,1675,1222
2021.8.15,9733591,7741,195103,1951,223919,123790,9470370,14785,377,26.8,86.9,1578,1222
2021.8.16,9733591,7741,196198,1951,225473,123790,9470370,15162,377,26.2,90.4,1405,1301
2021.8.17,9733591,7741,197224,1951,226845,123790,9470370,15539,377,26.2,90.4,1240,1301
2021.8.18,9733591,7741,199582,1951,228648,123790,9470370,15916,377,26.2,90.4,1630,1301
2021.8.19,9733591,7741,201235,1951,230800,123790,9470370,16293,377,26.2,90.4,1945,1301
2021.8.20,9733591,7741,202775,1951,232850,123790,9470370,16670,377,26.2,90.4,1853,1301
2021.8.21,9733591,7741,204518,1951,234727,123790,9470370,17047,377,26.2,90.4,1697,1301
2021.8.22,9733591,7741,206276,1951,236353,123790,9470370,17424,377,26.2,90.4,1470,1301
2021.8.23,9733591,7741,207601,1951,237770,123790,9470370,17801,377,26.2,90.4,1281,1301
2021.8.24,9733591,7741,209193,1951,239277,123790,9470370,18178,377,27.1,94.8,1429,1319
2021.8.25,9733591,7741,211177,1951,241431,123790,9470370,18555,377,27.1,94.8,2042,1319
2021.8.26,9733591,7741,212871,1951,243312,123790,9470370,18932,377,27.1,94.8,1783,1319
2021.8.27,9733591,7741,214673,1951,245149,123790,9470370,19309,377,27.1,94.8,1741,1319
2021.8.28,9733591,7741,216989,1951,246942,123790,9470370,19686,377,27.1,94.8,1700,1319
2021.8.29,9733591,7741,218726,1951,248557,123790,9470370,20063,377,27.1,94.8,1531,1319
2021.8.30,9733591,7741,220358,1951,250044,123790,9470370,20440,377,27.1,94.8,1410,1319
2021.8.31,9733591,7741,221701,1951,251414,123790,9470370,20817,377,27.1,94.8,1299,1319
2021.9.1,9733591,7741,224319,1951,253438,123790,9470370,21194,376,24.4,97.3,1969,1499
2021.9.2,9733591,7741,226222,1951,255398,123790,9470370,21570,377,24.4,97.3,1907,1503
2021.9.3,9733591,7741,228618,1951,257106,123790,9470370,21947,377,24.4,97.3,1662,1503
2021.9.4,9733591,7741,230405,1951,258909,123790,9470370,22324,377,24.4,97.3,1754,1503
2021.9.5,9733591,7741,232334,1951,260399,123790,9470370,22701,377,24.4,97.3,1450,1503
2021.9.6,9733591,7741,233695,1951,261774,123790,9470370,23078,377,24.4,97.3,1338,1503
2021.9.7,9733591,7741,235225,1951,263371,123790,9470370,23455,377,24.4,97.3,1554,1503
2021.9.8,9733591,7741,237286,1951,265419,123790,9470370,23832,377,27.8,98.8,2023,1340
2021.9.9,9733591,7741,238920,1951,267468,123790,9470370,24209,377,27.8,98.8,2024,1340
2021.9.10,9733591,7741,240733,1951,269360,123790,9470370,24586,377,27.8,98.8,1869,1340
2021.9.11,9733591,7741,242960,1951,271224,123790,9470370,24963,377,27.8,98.8,1842,1340
2021.9.12,9733591,7741,244459,1951,272979,123790,9470370,25340,377,27.8,98.8,1734,1340
2021.9.13,9733591,7741,245505,1951,274412,123790,9470370,25717,377,27.8,98.8,1416,1340
2021.9.14,9733591,7741,247647,1951,275909,123790,9470370,26094,377,27.8,98.8,1479,1340
2021.9.15,9733591,7741,249833,1951,277988,123790,9470370,26471,377,24.8,98.2,2058,1493
2021.9.16,9733591,7741,252038,1951,279930,123790,9470370,26848,377,24.8,98.2,1923,1493
2021.9.17,9733591,7741,254094,1951,281938,123790,9470370,27225,377,24.8,98.2,1988,1493
2021.9.18,9733591,7741,256029,1951,284022,123790,9470370,27602,377,24.8,98.2,2063,1493
2021.9.19,9733591,7741,257449,1951,285930,123790,9470370,27979,377,24.8,98.2,1889,1493
2021.9.20,9733591,7741,259011,1951,287534,123790,9470370,28356,377,24.8,98.2,1588,1493
2021.9.21,9733591,7741,260090,1951,289263,123790,9470370,28733,377,24.8,98.2,1712,1493
2021.9.22,9733591,7741,261812,1951,290983,123790,9470370,29110,377,23.4,99.5,1711,1603
2021.9.23,9733591,7741,262842,1951,292699,123790,9470370,29487,377,23.4,99.5,1707,1603
2021.9.24,9733591,7741,264492,1951,295132,123790,9470370,29864,458,23.4,99.5,2421,1947
2021.9.25,9733591,7741,266411,1951,298397,123790,9470370,30322,458,23.4,99.5,3249,1947
2021.9.26,9733591,7741,268140,1951,301165,123790,9470370,30780,458,23.4,99.5,2754,1947
2021.9.27,9733591,7741,269132,1951,303546,123790,9470370,31238,458,23.4,99.5,2369,1947
2021.9.28,9733591,7741,270928,1951,305834,123790,9470370,31696,458,23.4,99.5,2277,1947
2021.9.29,9733591,7741,272724,1951,308715,123790,9470370,32154,457,23.4,99.5,2867,1943
2021.9.30,9733591,7741,274205,1951,311276,123790,9470370,32611,458,16.8,99.5,2548,2713
2021.10.1,9733591,7741,275576,1951,313760,123790,9470370,33069,458,16.8,99.5,2472,2713
2021.10.2,9733591,7741,277092,1951,316007,123790,9470370,33527,458,16.8,99.5,2236,2713
2021.10.3,9733591,7741,278847,1951,318092,123790,9470370,33985,458,16.8,99.5,2075,2713
2021.10.4,9733591,7741,282669,1951,319762,123790,9470370,34443,458,16.8,99.5,1662,2713
2021.10.5,9733591,7741,284197,1951,321336,123790,9470370,34901,458,16.8,99.5,1566,2713
2021.10.6,9733591,7741,287040,1951,323363,123790,9470370,35359,458,16.8,99.5,2017,2713
2021.10.7,9733591,7741,288822,1951,325788,123790,9470370,35817,458,16.8,99.5,2413,2713
2021.10.8,9733591,7741,292091,1951,327959,123790,9470370,36275,458,22.8,99.8,2167,2005
2021.10.9,9733591,7741,294929,1951,329912,123790,9470370,36733,457,22.8,99.8,1949,2000
2021.10.10,9733591,7741,296708,1951,331506,123790,9470370,37190,458,22.8,99.8,1591,2005
2021.10.11,9733591,7741,298022,1951,332803,123790,9470370,37648,458,22.8,99.8,1294,2005
2021.10.12,9733591,7741,299260,1951,334149,123790,9470370,38106,458,22.8,99.8,1343,2005
2021.10.13,9733591,7741,302066,1951,335732,123790,9470370,38564,458,22.8,99.8,1580,2005
2021.10.14,9733591,7741,303719,1951,337671,123790,9470370,39022,458,22.8,99.8,1935,2005
2021.10.15,9733591,7741,305851,1951,339354,123790,9470370,39480,458,22.8,99.8,1680,2005
2021.10.16,9733591,7741,308187,1951,340971,123790,9470370,39938,458,27.6,99.9,1615,1658
2021.10.17,9733591,7741,310344,1951,342391,123790,9470370,40396,458,27.6,99.9,1419,1658
2021.10.18,9733591,7741,311781,1951,343441,123790,9470370,40854,458,27.6,99.9,1049,1658
2021.10.19,9733591,7741,313432,1951,344514,123790,9470370,41312,457,33.4,99.9,1072,1367
2021.10.20,9733591,7741,316607,1951,346085,123790,9470370,41769,458,33.4,99.9,1569,1370
2021.10.21,9733591,7741,317755,1951,347526,123790,9470370,42227,458,33.4,99.9,1440,1370
2021.10.22,9733591,7741,320317,1951,348964,123790,9470370,42685,458,33.4,99.9,1437,1370
2021.10.23,9733591,7741,322536,1951,350472,123790,9470370,43143,458,33.4,99.9,1506,1370
2021.10.24,9733591,7741,323393,1951,351893,123790,9470370,43601,458,27.9,99.9,1420,1640
2021.10.25,9733591,7741,324448,1951,353083,123790,9470370,44059,458,27.9,99.9,1189,1640
2021.10.26,9733591,7741,327592,1951,354355,123790,9470370,44517,458,27.9,99.9,1271,1640
2021.10.27,9733591,7741,329658,1951,356300,123790,9470370,44975,458,27.9,99.9,1943,1640
2021.10.28,9733591,7741,330853,1951,358411,123790,9470370,45433,458,27.9,99.9,2109,1640
2021.10.29,9733591,7741,332995,1951,360532,123790,9470370,45891,457,27.9,99.9,2119,1636
2021.10.30,9733591,7741,334581,1951,362636,123790,9470370,46348,458,27.9,99.9,2102,1640
2021.10.31,9733591,7741,336548,1951,364697,123790,9470370,46806,458,27.9,99.9,2059,1640
2021.11.1,9733591,7741,337353,1951,366382,123790,9470370,47264,458,16.7,99.9,1683,2740
2021.11.2,9733591,7741,338947,1951,367970,123790,9470370,47722,458,16.7,99.9,1586,2740
2021.11.3,9733591,7741,340470,1951,370637,123790,9470370,48180,458,16.7,99.9,2664,2740
2021.11.4,9733591,7741,341887,1951,373119,123790,9470370,48638,458,16.7,99.9,2480,2740
